source	target	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	dip_url
P56945	P00519	1	1	0	0	0	0	
Q02548	P15391	1	1	0	1	1	0	
P00519	P11274	1	1	1	1	1	0	
P11274	P00519	1	1	0	0	0	0	
Q02548	P11912	1	1	0	1	1	0	
Q02548	P07333	1	0	1	1	0	1	
P14635	P53350	1	1	0	0	0	0	
P53350	P14635	1	1	0	1	1	0	
P00519	Q00535	1	1	0	1	1	0	
Q00535	P00519	1	0	0	0	0	0	
P07333	P09603	1	0	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=187846
P09603	P07333	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=187846
P12931	P42684	1	1	0	1	1	0	
P08631	P42684	1	1	0	1	1	0	
P42684	P08631	1	0	0	0	0	0	
P00519	P42684	1	1	0	1	1	0	
Q5FWF5	Q9UQE7	1	1	0	1	1	0	
P23025	Q9UPV0	1	1	0	1	1	0	
P38398	P48431	1	1	0	1	1	0	
P00519	Q8IZP0	1	1	0	1	1	0	
Q8IZP0	P00519	1	1	0	0	0	0	
O14757	Q9HB96	1	1	0	1	1	0	
P31749	Q92547	1	1	0	1	1	0	
O14757	Q9BXW9	1	1	0	1	1	0	
P00519	P12931	1	1	0	0	0	0	
P12931	P00519	1	1	0	1	1	0	
P00519	P08631	1	0	0	0	0	0	
P08631	P00519	1	1	0	1	1	0	
P16871	P52333	1	1	0	0	0	0	
P52333	P16871	1	1	0	1	1	0	
O14965	Q9GZM8	1	1	0	1	1	0	
P06493	Q9GZM8	1	1	0	1	1	0	
O96017	P53350	1	0	0	0	0	0	
P53350	O96017	1	1	1	1	1	0	
Q9NS23	Q12834	1	0	1	1	0	1	
O14965	Q9NS23	1	0	1	1	0	1	
O75925	P48436	1	1	0	1	1	0	
P63279	P46060	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=57079
P49792	P46060	1	1	0	1	1	0	
P63279	Q96RL1	1	1	0	1	1	0	
Q05516	P26951	1	1	0	1	1	0	
P63279	P37231	1	0	1	1	0	1	
P49715	P02788	1	1	0	1	1	0	
Q01196	P07333	1	1	0	1	1	0	
P01106	Q75NE6	1	1	0	1	1	0	
Q01196	Q75NE6	1	0	1	1	0	1	
Q75NE6	Q01196	1	0	1	1	0	1	
Q01196	P08700	1	1	0	1	1	0	
P01106	Q01094	1	1	0	0	0	0	
P49715	P08246	1	1	0	1	1	0	
P49715	P61626	1	1	0	1	1	0	
Q01196	P51451	1	1	0	1	1	0	
O95714	P23025	1	0	1	1	0	1	
Q02548	P51451	1	1	0	1	1	0	
P49715	P15509	1	1	0	1	1	0	
P49715	P05164	1	1	0	1	1	0	
P49715	P08571	1	1	0	1	1	0	
Q01196	P08246	1	1	0	1	1	0	
Q96FW1	P61088	1	0	1	1	0	1	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=177553
Q01196	P05164	1	1	0	1	1	0	
Q01196	P15509	1	1	0	1	1	0	
Q96FW1	Q8IYW5	1	0	1	1	0	1	
P15976	P17947	1	0	1	1	0	1	
P17947	P15976	1	0	1	0	0	0	
P40763	P17947	1	1	0	1	1	0	
P49715	P17947	1	1	0	1	1	0	
P09919	Q99062	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=197514
P17947	P09919	1	1	0	1	1	0	
P17947	P04141	1	1	0	1	1	0	
P04141	P15509	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=624
P49715	P07333	1	1	0	1	1	0	
P49715	Q99062	1	1	0	1	1	0	
Q13315	Q13541	1	1	1	1	1	1	
Q13315	P15927	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=40070
Q13535	P49736	1	1	0	1	1	0	
Q13315	P25205	1	1	0	1	1	0	
O43324	Q13535	1	1	0	1	1	0	
Q13535	O43324	1	0	0	0	0	0	
Q13315	P16220	1	0	1	1	0	1	
O75663	P67775	1	0	1	1	0	1	
P09874	P49959	1	1	0	1	1	0	
Q13535	Q14683	1	1	0	1	1	0	
Q96MF7	Q99598	1	1	0	1	1	0	
P78527	P55072	1	1	0	1	1	0	
O15297	P13051	1	0	1	1	0	1	
O15297	P04637	1	1	1	1	1	1	
P04637	O15297	1	1	0	0	0	0	
P19338	P27694	1	1	0	1	1	0	
Q96MF7	Q96SB8	1	1	0	1	1	0	
P08581	P14210	1	0	1	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=65574
P14210	P08581	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=65574
P08581	P29353	1	1	0	1	1	0	
Q71DI3	Q12888	1	1	0	1	1	0	
Q13315	P31749	1	1	0	1	1	0	
Q16695	Q12888	1	1	0	1	1	0	
O15297	O14757	1	0	1	1	0	1	
P30291	Q99618	1	0	0	0	0	0	
Q99618	P30291	1	0	1	1	0	1	
O94782	Q9NVI1	1	1	1	1	0	1	
P28562	Q9NVI1	1	0	1	1	0	1	
P38398	P24522	1	1	0	1	1	0	
P43351	Q06609	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=40069
Q06609	P43351	1	1	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=40069
P31749	Q00987	1	1	0	1	1	0	
P10415	P12956	1	0	1	1	0	1	
Q96FJ2	Q96LC9	1	0	1	1	0	1	
P04637	P78543	1	1	0	1	1	0	
P01106	O43521	1	1	0	1	1	0	
P78543	P24385	1	0	1	1	0	1	
P31749	P49841	1	1	1	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=65104
P49841	P31749	1	1	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=65104
P49841	P99999	1	1	0	1	1	0	
P49841	P21796	1	0	1	1	0	1	
P25490	P25445	1	0	1	1	0	1	
P01137	P35228	1	0	1	1	0	1	
P28482	P55211	1	0	1	1	0	1	
P31749	P04049	1	0	1	1	0	1	
P00533	Q02750	1	1	0	1	1	0	
Q02750	P00533	1	0	0	0	0	0	
O75475	P02511	1	1	0	1	1	0	
O75475	P04792	1	1	0	1	1	0	
P17275	P10415	1	0	1	1	0	1	
O75475	P08319	1	1	0	1	1	0	
O75475	P30041	1	1	0	1	1	0	
O75475	O94788	1	1	0	1	1	0	
P17275	P00533	1	1	0	1	1	0	
O75475	P07327	1	1	0	1	1	0	
O75475	P48506	1	1	0	1	1	0	
P01375	O75475	1	1	0	1	1	0	
P17275	Q07817	1	0	1	1	0	1	
P18146	Q02535	1	1	0	1	1	0	
P01106	O14746	1	1	1	1	1	0	
Q02535	P15923	1	0	1	1	0	1	
Q13263	P38936	1	1	1	1	0	1	
Q92993	P78527	1	1	0	1	1	0	
Q92934	P99999	1	1	0	1	1	0	
Q16611	P99999	1	1	0	1	1	0	
Q16611	Q9NR28	1	1	0	1	1	0	
Q07812	O43464	1	1	0	1	1	0	
Q96LC9	Q92843	1	1	1	1	0	1	
Q13263	P24522	1	0	1	1	0	1	
Q13263	Q07812	1	0	1	1	0	1	
Q13263	Q96PG8	1	0	1	1	0	1	
Q13263	Q13794	1	0	1	1	0	1	
Q14164	Q14653	1	1	0	1	1	0	
P27694	Q8WXE1	1	1	0	1	1	0	
P42574	O75475	1	0	1	1	0	1	
Q14145	Q16236	1	0	1	1	0	1	
Q16236	Q14145	1	0	1	0	0	0	
P42574	P09874	1	0	1	1	0	1	
P40763	Q07817	1	1	0	1	1	0	
P40763	P10415	1	1	0	1	1	0	
P28482	P40763	1	1	0	1	1	0	
P27361	P40763	1	1	0	1	1	0	
Q07812	O95831	1	1	0	1	1	0	
Q07812	P99999	1	1	0	1	1	0	
O15392	P42574	1	1	1	1	0	1	
Q14191	P43351	1	1	0	1	1	0	
O15392	P55210	1	0	1	1	0	1	
Q13315	Q12888	1	1	0	1	1	0	
P29590	Q92547	1	1	0	1	1	0	
P06400	O00716	1	0	1	1	0	1	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=40157
P06400	Q14209	1	0	1	1	0	1	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=499
P78527	Q14683	1	0	0	0	0	0	
P54132	P04637	1	1	0	1	1	0	
P01375	P20333	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=3926
P20333	P01375	1	1	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=3926
O95429	P19438	1	0	1	1	0	1	
P20333	Q12933	1	1	0	1	1	0	
Q12933	P20333	1	0	1	0	0	0	
P06493	P78344	1	0	0	0	0	0	
P78344	P06493	1	1	0	1	1	0	
P78344	P10415	1	1	0	1	1	0	
P30291	Q9Y297	1	0	0	0	0	0	
Q9Y297	P30291	1	0	1	1	0	1	
O75150	Q5VTR2	1	1	0	1	1	0	
Q5VTR2	O75150	1	1	0	1	1	0	
P78527	Q14191	1	1	0	1	1	0	
Q14191	P78527	1	1	0	0	0	0	
P16104	P78527	1	0	0	0	0	0	
P78527	P16104	1	1	0	1	1	0	
P78527	P27694	1	0	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=40061
Q13526	P10636	1	1	0	1	1	0	
Q9P0L2	P11137	1	0	1	1	0	1	
Q9P0L2	P27816	1	0	1	1	0	1	
P28715	P12004	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=40120
P01308	P06213	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=189210
P06213	P01308	1	0	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=189210
P41273	Q07011	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=4251
P18146	P38936	1	1	0	1	1	0	
P18146	P48023	1	1	0	1	1	0	
Q99933	P10415	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=4685
P18146	P37231	1	1	0	1	1	0	
P18146	P00533	1	1	0	1	1	0	
P04637	Q969H0	1	1	0	1	1	0	
P05455	O14746	1	0	0	0	0	0	
Q9GZX5	P38398	1	0	0	0	0	0	
P17676	P18428	1	1	0	1	1	0	
Q06330	Q5TA89	1	1	1	1	1	1	
P04637	Q16690	1	1	0	1	1	0	
P27361	Q16690	1	0	0	0	0	0	
Q16690	P27361	1	1	1	1	1	0	
Q969H0	P24864	1	1	1	1	0	1	
P04637	Q13794	1	1	0	1	1	0	
P26367	Q13461	1	1	0	1	1	0	
P26367	O75444	1	1	0	1	1	0	
O95343	P26367	1	1	0	0	0	0	
P26367	O95343	1	1	0	1	1	0	
Q13535	P38398	1	1	0	1	1	0	
O14770	P26367	1	1	0	1	1	0	
O14757	Q13535	1	0	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=88585
Q13535	O14757	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=88585
O75444	P02489	1	1	0	1	1	0	
O75444	P02511	1	1	0	1	1	0	
P04637	P28562	1	1	0	1	1	0	
P52564	Q9Y6R4	1	0	0	0	0	0	
Q9Y6R4	P52564	1	1	0	1	1	0	
O75293	Q9Y6R4	1	1	0	1	1	0	
Q9Y6R4	O75293	1	0	0	0	0	0	
Q08050	P08253	1	1	0	1	1	0	
P12956	Q07812	1	0	1	1	0	1	
Q8NEM0	Q01094	1	1	0	1	1	0	
Q99933	O75807	1	0	1	1	0	1	
Q9Y6R4	P45985	1	1	0	1	1	0	
P48729	P04637	1	1	0	1	1	0	
P29590	P48729	1	1	0	1	1	0	
P53355	P14618	1	1	0	1	1	0	
P48729	Q9Y2B4	1	1	0	1	1	0	
P24941	P30304	1	1	1	0	0	0	
P30304	P24941	1	1	0	1	1	0	
P01106	P30304	1	1	0	1	1	0	
P42574	P98170	1	0	1	0	0	0	
P98170	P42574	1	0	1	1	0	1	
Q07812	O14727	1	1	0	1	1	0	
Q13489	P42574	1	0	1	1	0	1	
P98170	P55211	1	0	1	1	0	1	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=44970
Q16236	Q9UJX0	1	1	0	1	1	0	
O60921	P12004	1	1	0	1	1	0	
Q16236	P48507	1	1	0	1	1	0	
P15336	P18847	1	1	0	1	1	0	
Q16236	P09601	1	1	0	1	1	0	
O75943	Q13535	1	1	0	0	0	0	
Q13535	O75943	1	1	0	1	1	0	
Q7KZI7	P10636	1	0	1	1	0	1	
P60896	P51587	1	1	0	1	1	0	
Q9P0L2	P10636	1	0	1	1	0	1	
P61088	P12004	1	1	0	1	1	0	
Q9NTG7	P12956	1	1	0	1	1	0	
Q16236	P15559	1	1	0	1	1	0	
P18146	Q15742	1	1	0	0	0	0	
Q15742	P18146	1	0	1	1	0	1	
P18146	P01137	1	1	0	1	1	0	
P18146	P01127	1	1	0	1	1	0	
P18146	P04085	1	1	0	1	1	0	
P18146	P01344	1	1	0	1	1	0	
O14965	P04637	1	1	1	1	0	1	
P04637	O14965	1	0	1	0	0	0	
Q12888	P04637	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=40135
P01106	P30279	1	1	0	1	1	0	
P27694	P39748	1	1	0	1	1	0	
Q01094	O14757	1	1	1	1	1	0	
P01106	P11802	1	1	0	1	1	0	
P11802	P01106	1	0	0	0	0	0	
Q99496	Q16777	1	1	0	1	1	0	
Q13506	P18146	1	0	1	1	0	1	
P08047	P46695	1	1	0	1	1	0	
P04637	P46695	1	0	1	1	0	1	
P04637	Q7LG56	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=40166
Q7LG56	P04637	1	1	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=40166
P04637	Q96A56	1	1	0	0	0	0	
Q96A56	P04637	1	0	0	0	0	0	
P54132	P39748	1	1	0	1	1	0	
P18146	P04637	1	1	0	1	1	0	
Q86YC2	P51587	1	1	0	1	1	0	
P18146	P60484	1	1	0	1	1	0	
P16104	Q8NEM0	1	1	0	1	1	0	
P04637	Q9BUZ4	1	1	0	1	1	0	
Q13535	O60671	1	1	0	1	1	0	
P04637	Q96PG8	1	1	1	1	1	0	
P67870	P20226	1	1	0	1	1	0	
P04637	Q9HB75	1	1	0	1	1	0	
P04637	P25445	1	1	0	1	1	0	
P62805	Q12888	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=73007
P25445	Q13158	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=303
Q13158	P25445	1	0	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=303
P26842	P32970	1	0	0	0	0	0	
P32970	P26842	1	1	0	1	1	0	
P48023	P25445	1	1	0	1	1	0	
P50591	Q9UBN6	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=11066
Q9UBN6	P50591	1	0	1	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=11066
O14763	P50591	1	1	0	0	0	0	
P50591	O14763	1	1	0	1	1	0	
O00220	P50591	1	0	0	0	0	0	
P50591	O00220	1	1	0	1	1	0	
P04637	Q92466	1	1	0	1	1	0	
P04637	P51959	1	1	0	1	1	0	
P51959	P04637	1	1	0	0	0	0	
O14763	Q13158	1	1	0	1	1	0	
P19438	Q13546	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=308
Q13546	P19438	1	0	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=308
P19438	Q15628	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=78
Q15628	P19438	1	0	1	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=78
Q13158	Q15628	1	0	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=302
Q15628	Q13158	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=302
Q15628	Q12933	1	1	1	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=44961
P01375	P19438	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=3912
P19438	P01375	1	0	1	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=3912
Q13490	P55211	1	0	1	1	0	1	
P21580	Q15628	1	1	1	1	0	1	
P53004	P09601	1	1	0	1	1	0	
Q15465	Q13635	1	1	1	1	0	1	
P53004	P17535	1	1	0	1	1	0	
P21675	P46527	1	1	0	1	1	0	
Q9Y297	Q8N145	1	0	1	1	0	1	
P53004	P05771	1	1	0	1	1	0	
P53004	P05412	1	1	0	1	1	0	
P06213	P35568	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=429
P35568	P06213	1	1	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=429
P53004	P15336	1	1	0	1	1	0	
Q16656	P05198	1	1	0	1	1	0	
Q16656	Q00059	1	1	0	1	1	0	
P31749	Q16656	1	1	0	1	1	0	
Q9BVP2	P04637	1	1	1	1	0	1	
Q16656	P20042	1	1	0	1	1	0	
P10144	O00165	1	0	1	1	0	1	
P42345	Q15349	1	1	0	1	1	0	
P23443	Q00987	1	1	1	1	0	1	
P11309	Q92934	1	0	1	1	0	1	
Q13635	Q99835	1	1	1	1	0	1	
O96017	P38398	1	1	0	1	1	0	
Q14191	Q9HCU8	1	1	0	1	1	0	
P12004	Q9HCU8	1	1	0	1	1	0	
Q99708	P49959	1	1	0	1	1	0	
Q9NWV8	P38398	1	1	0	1	1	0	
P27694	Q9BX63	1	1	0	1	1	0	
P09874	Q92547	1	0	0	0	0	0	
Q01094	Q92547	1	1	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=40188
Q92547	Q01094	1	0	1	1	0	1	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=40188
P46734	Q16539	1	1	0	1	1	0	
Q16539	P46734	1	0	0	0	0	0	
P35638	P17535	1	1	0	1	1	0	
P61088	P16104	1	1	1	1	1	0	
P35638	P10415	1	0	1	1	0	1	
Q99683	P46734	1	1	0	1	1	0	
Q9UMX1	P08151	1	1	1	1	1	0	
O14558	P31749	1	1	0	1	1	0	
P0DMV8	O14727	1	0	1	1	0	1	
Q02750	Q16659	1	1	0	1	1	0	
Q16828	Q16659	1	0	1	1	0	1	
P24522	Q16539	1	1	1	1	0	1	
Q16539	P24522	1	1	0	0	0	0	
Q99728	P38398	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10813
P61077	P38398	1	1	0	1	1	0	
P42574	P55211	1	1	0	0	0	0	
P55211	P42574	1	1	0	1	1	0	
P31749	P56279	1	0	0	0	0	0	
P56279	P31749	1	1	0	1	1	0	
P42575	Q14790	1	1	0	1	1	0	
P30968	P50281	1	1	0	1	1	0	
P30968	P51511	1	1	0	1	1	0	
P30968	P14780	1	0	1	1	0	1	
P30968	P16035	1	1	0	1	1	0	
P30968	P13521	1	1	0	1	1	0	
P30968	P01033	1	0	1	1	0	1	
P30968	P35625	1	0	1	1	0	1	
Q9P2K8	Q9BY44	1	1	1	1	0	1	
Q9NZJ5	Q9BY44	1	1	1	1	0	1	
Q96LC9	Q07817	1	0	1	1	0	1	
O75460	P17861	1	1	0	1	1	0	
P35637	O43521	1	1	0	1	1	0	
Q9NZJ5	O14727	1	0	1	1	0	1	
P12931	P60953	1	1	0	1	1	0	
P12931	P01112	1	1	1	1	1	0	
P60953	Q13233	1	1	0	1	1	0	
Q13233	P45985	1	1	0	1	1	0	
Q13233	O14733	1	1	0	1	1	0	
Q96LC9	Q07820	1	0	1	1	0	1	
Q96LC9	P10415	1	0	1	1	0	1	
P35637	Q07817	1	0	1	1	0	1	
P45983	Q07817	1	0	1	1	0	1	
O43521	Q07812	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=151310
P35637	P10415	1	0	1	1	0	1	
Q13114	Q99558	1	0	1	1	0	1	
Q99558	Q13114	1	0	0	0	0	0	
Q9C000	P99999	1	1	0	1	1	0	
Q9UIK4	P05976	1	1	0	1	1	0	
P98170	P55210	1	0	1	1	0	1	
P01148	P30968	1	1	0	1	1	0	
Q13315	Q92993	1	0	0	0	0	0	
Q92993	Q13315	1	1	0	1	1	0	
O75460	P45983	1	1	0	1	1	0	
Q9BY44	P18848	1	1	0	1	1	0	
P18848	P35637	1	1	0	1	1	0	
P10144	Q92934	1	1	0	1	1	0	
P29597	P42224	1	1	0	1	1	0	
Q09472	P40763	1	1	0	1	1	0	
Q09472	P42229	1	1	0	1	1	0	
O75925	P42224	1	1	1	1	1	0	
Q9Y6X2	P40763	1	1	1	1	1	0	
Q13546	Q14790	1	1	0	0	0	0	
Q14790	Q13546	1	0	1	1	0	1	
P23458	P42224	1	1	0	1	1	0	
Q13007	P01574	1	1	0	1	1	0	
P45983	P42224	1	1	0	1	1	0	
P45984	P42224	1	1	0	1	1	0	
P38936	P30281	1	0	1	1	0	1	
P46527	P30281	1	0	1	1	0	1	
P30281	P24864	1	1	0	1	1	0	
P63000	P40763	1	1	0	1	1	0	
Q96J02	Q9H3D4	1	0	1	1	0	1	
Q9Y6X2	O75030	1	0	1	1	0	1	
Q969H0	O14965	1	0	1	1	0	1	
O14733	P45983	1	1	0	1	1	0	
P45983	O14733	1	0	0	0	0	0	
O75569	P19525	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=71194
P19525	O75569	1	0	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=71194
P06493	P61024	1	0	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=1010
P61024	P06493	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=1010
Q16539	O75807	1	1	0	1	1	0	
Q16539	P35638	1	1	0	1	1	0	
P30279	Q00534	1	1	0	1	1	0	
Q00534	P30279	1	0	0	0	0	0	
P30281	Q00534	1	1	0	1	1	0	
Q00534	P30281	1	0	0	0	0	0	
Q93009	P04637	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=57057
Q6GPH4	P98170	1	0	1	1	0	1	
Q96PM5	P46527	1	0	1	1	0	1	
P11802	P30281	1	0	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=61217
P30281	P11802	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=61217
P11802	P24385	1	0	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=61212
P24385	P11802	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=61212
Q13625	P04637	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=796
Q8WUF5	P04637	1	0	1	1	0	1	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=59066
P11802	P30279	1	0	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=555
P30279	P11802	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=555
P24385	Q00534	1	1	0	1	1	0	
Q00534	P24385	1	0	0	0	0	0	
Q96KQ4	P04637	1	1	0	1	1	0	
Q9BUR4	P04637	1	1	0	1	1	0	
P31749	Q92934	1	0	1	1	0	1	
Q92934	P31749	1	0	0	0	0	0	
P31749	P55211	1	0	1	1	0	1	
P31749	Q15119	1	0	0	0	0	0	
Q15119	P31749	1	1	0	1	1	0	
P31749	Q15118	1	0	0	0	0	0	
Q15118	P31749	1	1	0	1	1	0	
Q96PG8	Q07817	1	0	1	1	0	1	
Q96PG8	P10415	1	0	1	1	0	1	
Q6UXS9	P55211	1	1	0	1	1	0	
P45983	Q92934	1	1	1	1	0	1	
P31749	P60484	1	0	1	1	0	1	
P60484	P31749	1	0	1	0	0	0	
Q13315	O43313	1	1	0	1	1	0	
P31749	P16220	1	1	0	1	1	0	
P45983	P55957	1	1	0	1	1	0	
P10415	Q13794	1	0	1	0	0	0	
Q13794	P10415	1	0	1	1	0	1	
Q07817	Q13794	1	0	1	0	0	0	
Q13794	Q07817	1	0	1	1	0	1	
Q9BXW9	Q9Y2M0	1	1	0	1	1	0	
Q9Y371	Q07812	1	1	0	1	1	0	
Q9Y371	Q16611	1	1	0	1	1	0	
P41221	Q01974	1	1	0	1	1	0	
Q01974	P41221	1	0	0	0	0	0	
Q00987	Q8N726	1	0	1	0	0	0	
Q8N726	Q00987	1	0	1	1	0	1	
Q969H0	Q9Y6Q9	1	0	1	1	0	1	
P07384	O15527	1	0	1	1	0	1	
Q9BUP3	P04637	1	1	0	1	1	0	
Q7KZI7	Q92997	1	1	0	1	1	0	
P00519	P38398	1	0	0	0	0	0	
P38398	P00519	1	0	1	1	0	1	
Q13153	P35222	1	1	0	1	1	0	
O15519	Q14790	1	0	1	1	0	1	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=74316
P60953	Q13153	1	1	0	1	1	0	
Q13153	P60953	1	1	0	0	0	0	
P63000	Q13153	1	1	0	1	1	0	
Q13153	P63000	1	1	1	0	0	0	
Q13535	P16104	1	1	0	1	1	0	
Q07812	Q9NR28	1	1	0	1	1	0	
Q15118	Q13153	1	1	0	1	1	0	
Q6UXS9	P55210	1	1	0	1	1	0	
Q00535	Q13153	1	0	1	1	0	1	
P04626	Q13153	1	1	0	1	1	0	
Q13153	P04626	1	0	0	0	0	0	
P24941	Q13153	1	0	1	1	0	1	
Q00987	Q9H3D4	1	1	1	1	0	1	
Q9H3D4	Q00987	1	1	0	0	0	0	
O96017	Q01094	1	1	0	1	1	0	
Q01094	O96017	1	1	0	0	0	0	
Q969H0	Q9UBK2	1	0	1	1	0	1	
Q969H0	Q8NC51	1	0	1	1	0	1	
Q969H0	P05412	1	0	1	1	0	1	
Q969H0	Q9H3D4	1	0	1	1	0	1	
O14727	P55211	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=44969
Q13158	Q14790	1	1	0	1	1	0	
Q14790	Q13158	1	0	0	0	0	0	
Q13315	Q9BXW9	1	1	0	1	1	0	
Q06787	Q13153	1	1	0	1	1	0	
Q99828	Q13153	1	1	0	1	1	0	
Q969X0	Q13153	1	1	0	1	1	0	
Q13153	Q9NWT1	1	0	0	0	0	0	
Q9NWT1	Q13153	1	1	1	1	1	0	
P60763	Q13153	1	1	0	1	1	0	
P17081	Q13153	1	1	0	1	1	0	
Q99653	Q13153	1	1	0	1	1	0	
P15153	Q13153	1	1	0	1	1	0	
Q13153	Q7L0Q8	1	0	0	0	0	0	
Q7L0Q8	Q13153	1	1	0	1	1	0	
P62993	Q13153	1	1	0	1	1	0	
Q13153	P62993	1	0	0	0	0	0	
P16333	Q13153	1	1	0	1	1	0	
Q13153	P16333	1	1	0	0	0	0	
Q8WY54	Q13153	1	0	1	1	0	1	
P49593	Q13153	1	0	1	1	0	1	
Q13153	P49593	1	0	0	0	0	0	
P49674	P30304	1	0	1	1	0	1	
P53355	Q9P0L2	1	1	0	1	1	0	
P53355	Q7KZI7	1	1	0	1	1	0	
P53355	Q13526	1	0	1	1	0	1	
Q01094	P15927	1	1	0	1	1	0	
